PicklesName,SpecType,g-g,g-r,i-i,i-z,r-i,r-r,u-g,u-u,z-z
pickles_uk_1,O5V,0.0,-0.3339117527750357,0.0,-0.20996464796822423,-0.23123575093108606,0.0,-0.23071384746071644,0.0,0.0
pickles_uk_2,O9V,0.0,-0.33636408345966906,0.0,-0.2282181901830178,-0.2075527773589183,0.0,-0.15399703004043808,0.0,0.0
pickles_uk_3,B0V,0.0,-0.30293035458904605,0.0,-0.18557831463370889,-0.20105505511702226,0.0,-0.0868800839729964,0.0,0.0
pickles_uk_4,B1V,0.0,-0.20744038165171297,0.0,-0.12080553424507023,-0.18421187842586662,0.0,0.04188226736456002,0.0,0.0
pickles_uk_5,B3V,0.0,-0.18231593914195265,0.0,-0.1224786549435084,-0.11418985581495988,0.0,0.34548214734889093,0.0,0.0
pickles_uk_6,B5-7V,0.0,-0.11780876025899012,0.0,-0.09000811547634946,-0.08166519107897408,0.0,0.6699001126644095,0.0,0.0
pickles_uk_7,B8V,0.0,-0.05866629947706947,0.0,-0.031962366204702164,-0.08964164400896912,0.0,0.9031034957360049,0.0,0.0
pickles_uk_9,A0V,0.0,0.013096401255660695,0.0,-0.03298089212958821,-0.036706224795088005,0.0,1.2474802057161831,0.0,0.0
pickles_uk_10,A2V,0.0,0.040312278188661566,0.0,-0.01179735236621049,-0.021877829678702554,0.0,1.3144563302616064,0.0,0.0
pickles_uk_11,A3V,0.0,0.10910967281464501,0.0,-0.015131244072046357,-0.0015800046709433246,0.0,1.312258560319595,0.0,0.0
pickles_uk_12,A5V,0.0,0.15796912672635344,0.0,0.0366631787521996,0.03790442035227315,0.0,1.3646062752301926,0.0,0.0
pickles_uk_14,F0V,0.0,0.35074272631329784,0.0,0.041161184743709,0.13449339375565295,0.0,1.341709714980773,0.0,0.0
pickles_uk_15,F2V,0.0,0.43381591682732257,0.0,0.11764040797486786,0.1725386934841584,0.0,1.3094021905390107,0.0,0.0
pickles_uk_16,F5V,0.0,0.5012998257357975,0.0,0.11726924237283853,0.1761352515867607,0.0,1.2847609930138955,0.0,0.0
pickles_uk_20,F8V,0.0,0.5995055287202327,0.0,0.16789620994175003,0.23590688490479117,0.0,1.4162169525862929,0.0,0.0
pickles_uk_23,G0V,0.0,0.6160660845872954,0.0,0.15460754136261023,0.28252148590121884,0.0,1.4959094425782027,0.0,0.0
pickles_uk_26,G2V,0.0,0.6861933714544737,0.0,0.17775892547183858,0.29595134434399206,0.0,1.572831338077286,0.0,0.0
pickles_uk_27,G5V,0.0,0.7182327057448354,0.0,0.1917702652045623,0.3043157136299861,0.0,1.7002696482472377,0.0,0.0
pickles_uk_30,G8V,0.0,0.8014493664031939,0.0,0.1889835784862317,0.33051346392231373,0.0,1.8124645109883364,0.0,0.0
pickles_uk_31,K0V,0.0,0.8476757014686758,0.0,0.20260323862040686,0.3564862109367013,0.0,1.8919057261296732,0.0,0.0
pickles_uk_33,K2V,0.0,0.9997113514638514,0.0,0.24208759212883812,0.37924545571793367,0.0,2.172217345191237,0.0,0.0
pickles_uk_36,K5V,0.0,1.4014142777784464,0.0,0.3317629782005387,0.5410754757320113,0.0,2.767168857295001,0.0,0.0
pickles_uk_37,K7V,0.0,1.5551851899716702,0.0,0.42795571515614306,0.6763663475782025,0.0,2.79138140415715,0.0,0.0
pickles_uk_38,M0V,0.0,1.5303935677632712,0.0,0.5115410087425172,0.7775464788927682,0.0,2.8822857657495087,0.0,0.0
pickles_uk_40,M2V,0.0,1.6411333649089546,0.0,0.6486016460722972,0.9914686431747484,0.0,2.8223623355736613,0.0,0.0
pickles_uk_43,M4V,0.0,1.684785828427854,0.0,0.8868061746816363,1.6502041093368796,0.0,3.374048712054716,0.0,0.0
pickles_uk_44,M5V,0.0,1.7891848789520992,0.0,1.0521235603041568,1.874284692645011,0.0,3.3087639973694305,0.0,0.0
